Antonym,Derived word,ex_japa,example,japanese,level,No,part of speech,Synonym,word,unique id
"early, on-time","later, latest",遅くなってすみません。,I'm sorry I'm late.,遅い,1,2661,形容詞,"delayed, tardy",late,1752129545152x792920805947878300
proud,ashamedly,彼は自分の行動を深く恥じていた。,He was deeply ashamed of his actions.,恥ずかしい,4,2658,形容詞,"embarrassed, guilty",ashamed,1752129545152x991963708458619000
"accelerate, expedite","delayed, delaying",列車は悪天候により遅延した。,The train was delayed due to bad weather.,遅延,3,2663,"名詞, 動詞","postpone, defer",delay,1752129545154x321122377210669250
"fast, quick","slowness, slow motion, slowdown",バスは今朝、とても遅かった。,The bus was very slow this morning.,遅い,1,2662,形容詞,"sluggish, leisurely, tardy",slow,1752129545154x517493621965822850
"dispel, disperse, scatter","accumulation, accumulator",定期的に掃除しないと、ホコリが蓄積する。,The dust will accumulate if you don't clean regularly.,蓄積する,4,2665,動詞,"gather, amass, collect",accumulate,1752129545154x879896326317886500
"dispersion, dissipation","accumulate, accumulative",富の蓄積は人生で最も重要なことではない。,The accumulation of wealth is not the most important thing in life.,蓄積,6,2664,名詞,"collection, buildup",accumulation,1752129545154x936620500654175200
"beginner, advanced","intermediately, intermediateness",彼女は中級レベルの英語学習者だ。,She is an intermediate level English learner.,中級の,5,2669,形容詞,"medium, middle, mid",intermediate,1752129545155x148584146477942500
"blond, fair","browny, brownish",彼は茶色の目をしている。,He has brown eyes.,茶色,1,2666,形容詞,"brunette, chestnut, chocolate",brown,1752129545155x334223312807928600
"start, end",midway,今は2月の半ばだ。,We're in mid-February now.,中間の,2,2668,形容詞,"middle, halfway",mid,1752129545155x522973460813837900
"remove, undress","wearer, wearable",彼女は常に日焼けから肌を守るために帽子をかぶっている。,She always wears a hat to protect her skin from the sun.,着る,2,2667,"名詞, 動詞","don, sport",wear,1752129545155x542996913105128000
"peripheral, outer, marginal","centralize, centrally",その公園は市の中心部にある。,The park is in the central part of the city.,中心の,3,2671,形容詞,"middle, heart, core",central,1752129545155x582080530666960100
"periphery, edge","central, centered",町の中心部は活気に満ち溢れている。,The town center is bustling with activity.,中心,2,2670,名詞,"middle, heart",center,1752129545155x837523634341166700
,"abort, abortive",中絶の問題は非常に議論の的だ。,The issue of abortion is highly controversial.,中絶,7,2672,名詞,"termination, miscarriage",abortion,1752129545157x150642783648974530
"continue, proceed","interruption, interrupter",他の人が話しているときは中断しないでください。,Please do not interrupt while others are speaking.,中断する,3,2673,動詞,"disrupt, break",interrupt,1752129545157x239726955168350750
"biased, partisan, prejudiced","neutrality, neutralize",スイスは第二次世界大戦中、中立を保っていた。,Switzerland remained neutral during World War II.,中立の,6,2674,形容詞,"impartial, unbiased, nonpartisan",neutral,1752129545157x463164380460095100
"ignore, aggravate","mediator, mediation",彼はその争いを仲裁するために呼ばれた。,He was called upon to mediate the dispute.,仲裁する,7,2676,動詞,"intercede, intervene, arbitrate",mediate,1752129545158x198429503642931100
"concrete, tangible","abstraction, abstractly",抽象芸術は理解するのが難しいことがある。,Abstract art can be hard to understand.,抽象的な,7,2679,形容詞,"theoretical, conceptual",abstract,1752129545158x295003760176472770
"unfaithfully, dishonestly","faithful, unfaithful",彼女は秘密を守ると忠実に約束した。,She faithfully promised to keep the secret.,忠実に,5,2677,副詞,"loyally, reliably, honestly",faithfully,1752129545158x311397006496865660
"drain, dehydrate","pouring, poured",彼女は一杯の水を注いだ。,She poured a glass of water.,注ぐ,2,2681,動詞,"dispense, serve, decant",pour,1752129545158x718106539396826900
"dinner, breakfast","lunchtime, luncheon",私はよくデスクで昼食を食べる。,I often eat lunch at my desk.,昼食,1,2680,名詞,midday meal,lunch,1752129545158x744881997854382300
"rival, enemy","mating, mateless",鳥は春に交尾する。,Birds mate in the spring.,仲間、配偶者,3,2675,"名詞, 動詞","partner, companion",mate,1752129545158x860459049153052800
"insert, put in","extraction, extractor",彼らはオリーブから油を抽出する。,They extract the oil from olives.,抽出する,6,2678,動詞,"derive, draw out, remove",extract,1752129545158x887228681870779800
"ignorance, neglect","attentive, attentiveness",彼が言っていることに注意を払ってください。,Pay attention to what he is saying.,注意、注目,3,2682,名詞,"concentration, focus, awareness",attention,1752129545159x181471379858153540
"careless, negligent, reckless","carefully, carefulness",道路を渡るときは注意してください。,Be careful when crossing the street.,注意深い,2,2683,形容詞,"cautious, attentive, vigilant",careful,1752129545159x288671273190536960
"carelessly, hastily","careful, care",彼女はそれに署名する前にドキュメントを注意深く読みた。,She read the document carefully before signing it.,注意深く,3,2684,副詞,"cautiously, meticulously, precisely",carefully,1752129545160x650584549232367200
,injections,患者はインスリンの注射を受けた。,The patient received an injection of insulin.,注射,4,2685,名詞,shot,injection,1752129545160x786485451385502800
"slightly, insignificantly","significance, significant",実験の結果は著しく変わった。,The results of the experiment have changed significantly.,著しく,7,2689,副詞,"remarkably, notably, substantially",significantly,1752129545162x234710494357682300
"disorder, chaos","orderly, disorder, reorder",ピザを注文したいだ。,I would like to order a pizza.,注文,2,2687,動詞,"request, command, direct",order,1752129545162x355098487144631640
,reservoirs,その都市の水供給は、山間の貯水池から来ている。,The city's water supply comes from a reservoir in the mountains.,貯水池,5,2690,名詞,"lake, basin, pond",reservoir,1752129545162x355725291480321300
"unremarkable, ordinary","remarkably, remarkableness",彼女のパフォーマンスは本当に注目すべきだった。,Her performance was truly remarkable.,注目すべき,5,2688,形容詞,"extraordinary, significant",remarkable,1752129545162x381459062441563000
,,国の借金は20兆ドル以上だ。,The national debt is over 20 trillion dollars.,兆,4,2691,名詞,,trillion,1752129545162x537795058760713860
"extract, withdraw","injection, injector",医者は患者にワクチンを注射した。,The doctor injected the patient with the vaccine.,注射する,5,2686,動詞,"infuse, insert, introduce",inject,1752129545162x883935394247779000
"countryside, rural area","township, townsfolk",彼は小さな町に住んでいる。,He lives in a small town.,町,1,2695,名詞,"village, city, municipality",town,1752129545496x329683156752834240
,"indicate, indicative",先生の笑顔は、私たちがうまくやったことの兆候だった。,The teacher's smile was an indication that we did well.,兆候,7,2692,名詞,"sign, hint",indication,1752129545496x519939316906449200
"dinner, supper","breakfasting, breakfasted",私は通常、朝7時に朝食を摂りる。,I usually have breakfast at 7 a.m.,朝食,1,2694,名詞,morning meal,breakfast,1752129545496x532426963257342850
,"viewpoint, viewfinder, review",山の頂上からの眺めは息をのむようだ。,The view from the top of the mountain is breathtaking.,眺め,3,2696,名詞,"sight, panorama, vista",view,1752129545496x880621299857931000
"piece of cake, cinch","challenging, challenger",その山を登るのは挑戦だった。,It was a challenge to climb the mountain.,挑戦,4,2693,名詞,"task, problem, trial",challenge,1752129545496x939735428338535000
speaker,listen,そのラジオ局は何百万人ものリスナーを持っている。,The radio station has millions of listeners.,聴き手,2,2697,名詞,"audience, ear",listener,1752129545497x140718274810224030
,"investigate, investigator",警察はその事件について調査を行っている。,The police are conducting an investigation into the incident.,調査,5,2699,名詞,"examination, inquiry, probe",investigation,1752129545497x360132696311981500
ignore,"examination, examiner",医者が患者を診察する。,The doctor will examine the patient.,調査する,4,2701,動詞,"check, inspect",examine,1752129545497x475074831839752640
"ignore, overlook","surveyor, surveying",私たちは顧客の嗜好を理解するために調査を行いた。,We conducted a survey to understand customer preferences.,調査,3,2698,"名詞, 動詞","study, research",survey,1752129545497x485461515374742800
,"probing, probe",警察はその事件についての調査を開始した。,The police launched a probe into the incident.,調査,7,2700,名詞,"investigation, examination, inquiry",probe,1752129545497x677193945815997200
"maintain, keep","adjustable, adjustment",あなたに合わせて椅子の高さを調整することができる。,You can adjust the chair's height to suit you.,調整する,4,2706,動詞,"modify, alter",adjust,1752129545498x482676788177394560
"ignore, neglect","investigation, investigator, investigative",探偵が犯罪現場を調査している。,The detective is investigating the crime scene.,調査する,6,2702,動詞,"examine, research, study",investigate,1752129545498x551203803348894400
silence,"toneless, tonal",彼の声の調子は非常に攻撃的だった。,His tone of voice was very aggressive.,調子,5,2703,名詞,"intonation, pitch, timbre",tone,1752129545498x645327025468579800
"chaos, disorder","coordinator, coordinate",プロジェクトの成功のためには、異なる部門間の調整が不可欠だ。,Coordination between different departments is vital for the project's success.,調整、協調,4,2705,名詞,"organization, synchronization",coordination,1752129545498x797940553758805400
"disorder, disarray","adjust, adjustable",その機械は定期的な調整が必要だ。,The machine requires regular adjustment.,調整,5,2704,名詞,"modification, alteration",adjustment,1752129545498x914859623698689700
"deregulate, disorganize","regulation, regulatory",政府は経済を規制する。,The government regulates the economy.,調節する,5,2708,動詞,"control, govern",regulate,1752129545499x246314383097114850
"disorganize, disarrange","coordinates, coordinating, coordinated",会うための時間を見つけるために、私たちはスケジュールを調整する必要がある。,We need to coordinate our schedules to find a time to meet.,調整する,5,2707,動詞,"organize, arrange",coordinate,1752129545499x536763697273970240
"crawl, creep","jumper, jumpiness",その猫は非常に高く跳ぶことができる。,The cat can jump very high.,跳ぶ,1,2710,動詞,"leap, bounce",jump,1752129545499x602073617951319760
"fall short, fail, lack","exceedingly, unexceeded",彼の才能はあなたの期待を超えるだろう。,His talent will exceed your expectations.,超える,5,2709,動詞,"surpass, outdo, outstrip",exceed,1752129545499x767914587139743900
,"leaping, leaped",猫は高く跳べる。,The cat can leap high.,跳ぶ,4,2711,"名詞, 動詞","jump, spring",leap,1752129545499x881002207502281600
"float, rise","sinker, sinking",その船は沈み始めた。,The boat began to sink.,沈む,2,2719,動詞,"dive, plunge, submerge",sink,1752129545500x337278601498410600
"nonlinear, indirect","linearity, linearly",会社の成長は年々直線的でした。,The growth of the company was linear over the years.,直線的な,7,2718,形容詞,"straight, direct",linear,1752129545500x363509781566062600
,"birdwatcher, birdwatching",鳥が木の上で歌っている。,The bird is singing in the tree.,鳥,1,2714,名詞,,bird,1752129545500x601649995601750000
"width, breadth","lengthy, lengthen",その部屋の長さは10フィートだ。,The length of the room is 10 feet.,長さ,2,2713,名詞,"distance, extent",length,1752129545500x606153746901594800
"indirectly, roundabout","direct, direction",私はその問題について彼に直接話した。,I spoke to him directly about the issue.,直接に,4,2716,副詞,"straight, immediately, exactly",directly,1752129545500x625294156438341000
,,円の直径は10cmだ。,The diameter of the circle is 10 cm.,直径,5,2715,名詞,"width, breadth",diameter,1752129545500x664837797688167200
"indirect, circumvent","direction, director",彼は直行便で東京に行った。,He took a direct flight to Tokyo.,直接の,2,2717,形容詞,"straight, immediate",direct,1752129545500x948494788697649400
short,"length, lengthen",やることの長いリストがある。,I have a long list of things to do.,長い、長く,1,2712,"形容詞, 副詞","lengthy, extensive",long,1752129545500x962748125259383700
"avoid, flee","chaser, chasing",猫はネズミを追いかけた。,The cat chased the mouse.,追いかける,2,2721,動詞,"pursue, hunt",chase,1752129545501x329699586137600640
,"wages, wage-earner",彼は良い賃金を稼いでいる。,He earns a good wage.,賃金,3,2720,名詞,"pay, salary, earnings",wage,1752129545501x592944098902445700
"less, subtracted","addition, additionally",レポートを完成させるためには追加の情報が必要だ。,We need additional information to complete the report.,追加の,5,2723,形容詞,"extra, supplementary",additional,1752129545502x127560165062450280
"abandon, give up, cease","pursuit, pursued, pursuer",彼女は医学のキャリアを追求することを決めた。,She decided to pursue a career in medicine.,追求する,5,2724,動詞,"follow, chase, seek",pursue,1752129545502x462976658465045600
"ignore, lose","tracker, tracking",その犬は香りを追跡する訓練を受けている。,The dog is trained to track scents.,追跡する、線路,2,2725,"名詞, 動詞","trace, follow, path, route",track,1752129545502x509362783273779000
"painless, comfortable","painfully, pain",その怪我は非常に痛かった。,The injury was very painful.,痛い,2,2726,形容詞,"sore, hurting",painful,1752129545502x664489128430915000
"subtraction, removal, deduction","additional, additive, add",彼は古い車に加えて新しい車を買った。,He bought a new car in addition to his old one.,追加,3,2722,名詞,"supplement, appendage, inclusion",addition,1752129545502x776178532212504800
,"current, currently",日本の通貨は円と呼ばれる。,The Japanese currency is called yen.,通貨,5,2730,名詞,"money, cash, legal tender",currency,1752129545502x829208348476708600
,"streetlight, streetwalker",私はメープル通りに住んでいる。,I live on Maple Street.,通り、街路,1,2729,名詞,"road, avenue, boulevard",street,1752129545502x885337823188282000
"pleasure, comfort","painful, painless",彼は事故後、激しい痛みに苦しんでいた。,He was in a lot of pain after the accident.,痛み,2,2727,名詞,"suffering, discomfort",pain,1752129545502x934170041328417000
"unusual, extraordinary","usually, unusual",彼はいつも通り遅れている。,He's late as usual.,通常の,2,2731,形容詞,"normal, common, regular",usual,1752129545502x965171189030902300
"heal, soothe","hurtful, hurtless",走った後で足が痛いだ。,My leg hurts after running.,痛む,2,2728,動詞,"pain, ache, injure",hurt,1752129545502x999023882203039700
"blockage, obstruction",pass,通路は車が通るには狭すぎた。,The passage was too narrow for the car to pass through.,通路,4,2733,名詞,"corridor, hallway, path",passage,1752129546095x223809866202617800
,"correspond, correspondent",彼らは通信を通じて友情を維持した。,They maintained their friendship through correspondence.,通信,7,2732,名詞,"communication, letters",correspondence,1752129546095x970528456497159400
"high,tall,deep","lower,lowest,lowly",飛行機は低い高度を飛んでいた。,The airplane was flying at a low altitude.,低い,2,2734,形容詞,"short,little,shallow,deep",low,1752129546096x107939941165603000
"irregular, abnormal","regularly, regularity, deregularize",彼女はこの店の常連客だ。,She is a regular customer at this shop.,定期的な、通常の,2,2735,形容詞,"usual, normal, ordinary",regular,1752129546096x191155203628941900
"occasionally, seldom","regular, regularity",彼女は定期的に祖母を訪れる。,She visits her grandmother regularly.,定期的に,3,2736,副詞,"routinely, frequently",regularly,1752129546096x586752264518617300
"confuse, misinterpret","definable, definition",この用語を定義してくれるか？,Can you define this term for me?,定義する,5,2738,動詞,"describe, specify",define,1752129546096x637818202527127700
"deconstruction, dissection, analysis","formulate, formulator",問題の定式化は研究の最初のステップだった。,The formulation of the problem was the first step in the research.,定式化,7,2739,名詞,"expression, articulation, statement",formulation,1752129546096x704012126832351100
colony,imperial,ローマ帝国は歴史上最も強力な帝国でした。,The Roman Empire was the most powerful in history.,帝国,2,2741,名詞,"kingdom, reign",empire,1752129546096x822984285303602200
"ambiguity, vagueness","define, definitive, definitively",愛'の定義は個人によって異なることがある。,The definition of 'love' can vary between individuals.,定義,3,2737,名詞,"explanation, meaning, description",definition,1752129546096x832758480663094800
,"theoretical, theoretically",ピタゴラスの定理は幾何学の基本原理だ。,Pythagoras' theorem is a fundamental principle in geometry.,定理,9,2740,名詞,"proposition, axiom",theorem,1752129546096x913406967489522700
desert,"gardener, gardening",彼女は美しい庭でガーデニングを楽しんでいる。,She enjoys gardening in her beautiful garden.,庭,1,2743,名詞,"yard, lawn",garden,1752129546100x486901494571540000
"top, peak, summit","bottomless, bottommost",私はそれを箱の底で見つけた。,I found it at the bottom of the box.,底,2,2742,名詞,"base, end, foot",bottom,1752129546100x905854214030164900
"compliance, surrender","resistant, resistive",その提案は強い抵抗に遭った。,The proposal met with strong resistance.,抵抗,4,2745,名詞,"opposition, defiance",resistance,1752129546101x214829423850049000
"surrender, yield, give in","resistance, resistant",彼は甘いものの誘惑に抵抗できませんでした。,He could not resist the temptation of the sweets.,抵抗する,4,2746,動詞,"oppose, withstand, fight",resist,1752129546101x458042842896667840
"vulnerable, susceptible","resistance, resist",その材料は熱に対する抵抗力がある。,The material is resistant to heat.,抵抗力のある,5,2747,形容詞,"immune, impervious",resistant,1752129546101x534895276337012500
"indoors, inside","yardage, yardstick",私の犬は庭で遊ぶのが大好きだ。,My dog loves to play in the yard.,庭,2,2744,名詞,"garden, courtyard",yard,1752129546101x595842840053548700
"dissuade, deter","suggestion, suggestible",交通渋滞を避けるために、早く出発することを提案する。,I suggest we leave early to avoid traffic.,提案する,5,2751,動詞,"propose, recommend",suggest,1752129546101x597005319469581300
"dissuasion, determent","suggest, suggestive",彼女はパーティーのための素晴らしい提案をした。,She made a great suggestion for the party.,提案,2,2749,名詞,"proposal, recommendation, advice",suggestion,1752129546101x713591077112054700
"rejection, denial","propositional, propositioned",彼は会議で興味深い提案をした。,He made an interesting proposition at the meeting.,提案,6,2750,名詞,"suggestion, proposal",proposition,1752129546101x897572366690412300
,"propose, proposed",彼女は彼の結婚の提案を受け入れた。,She accepted his marriage proposal.,提案,6,2748,名詞,"suggestion, proposition, offer",proposal,1752129546101x934444555363505000
withhold,"provider, provision",その会社は多くのサービスを提供する。,The company provides many services.,提供する,5,2753,動詞,"supply, offer",provide,1752129546102x540308755825087600
"withdraw, withhold","submission, submitter",月曜日までにあなたの課題を提出してください。,Please submit your assignment by Monday.,提出する,4,2755,動詞,"present, hand in, deliver",submit,1752129546102x582092727583358500
"friend, ally, supporter",enemies,彼は強力な政治家を敵に回してしまった。,He had made an enemy of the powerful politician.,敵,2,2757,名詞,"opponent, adversary, foe",enemy,1752129546102x596918072179510400
"withdraw, retract, withhold","offerer, offering, offerable",彼は私に仕事を提供した。,He offered me a job.,提供する,3,2754,動詞,"propose, present, suggest",offer,1752129546102x616742797530046000
"extension, prolongation","deadliner, deadlineless",プロジェクトの締め切りは来週だ。,The deadline for the project is next week.,締め切り,3,2756,名詞,"due date, limit, time limit",deadline,1752129546102x730347597096336600
"withdraw, discourage","proposal, proposer",私はプロジェクトに新しいアイデアを提案する。,I propose a new idea for the project.,提案する,5,2752,動詞,"suggest, offer",propose,1752129546102x866067598239173000
"resist, reject","adaptable, adaptation",新しい環境に適応することは重要だ。,It's important to adapt to new environments.,適応する,6,2759,動詞,"adjust, accommodate",adapt,1752129546103x116882307369757800
original,"adapt, adaptable",その映画は有名な小説の映画化だ。,The movie is an adaptation of a famous novel.,適応,7,2758,名詞,"adjustment, alteration, modification",adaptation,1752129546103x370928345602193500
"rigid, fixed","adapt, adaptability, adaptation",これは、自分の間違いから学ぶ適応性のあるシステムだ。,This is an adaptive system which learns from its mistakes.,適応性のある,6,2760,形容詞,"flexible, adjustable, adaptable",adaptive,1752129546103x429587982084829800
"unfit, misfit, mismatch","fitness, fitting",そのドレスはあなたにぴったり合っている。,The dress fits you perfectly.,適合する,1,2761,動詞,"match, suit, conform",fit,1752129546103x972325031167137200
"inappropriate, unsuitable","appropriately, appropriateness",彼女はその場に適したドレスを着ていた。,She wore an appropriate dress for the occasion.,適切な,4,2762,形容詞,"suitable, fitting, proper",appropriate,1752129546104x889536240136241300
,"philosophical, philosopher, philosophize",彼の人生哲学は常に学び続けることだ。,His life philosophy is to always keep learning.,哲学,7,2770,名詞,"belief, view, thought",philosophy,1752129546105x270590853377314050
"unsuitable, inappropriate","suitability, unsuitable",この本は初心者に適している。,This book is suitable for beginners.,適切な,3,2763,形容詞,"appropriate, fitting",suitable,1752129546105x360827726903451000
"improper, unsuitable, inappropriate","properly, propriety",適切な栄養は健康にとって必要不可欠だ。,Proper nutrition is essential for good health.,適切な,4,2764,形容詞,"appropriate, suitable, correct",proper,1752129546105x385707273236135500
,philosophy,プラトンは有名なギリシャの哲学者でした。,Plato was a famous Greek philosopher.,哲学者,5,2771,名詞,"thinker, sage",philosopher,1752129546105x468509810994298700
unreasonably,"reasonable, reasonableness",プロジェクトは適切なスピードで完了した。,The project was completed reasonably quickly.,適切に,6,2767,副詞,"fairly, moderately",reasonably,1752129546105x575269920782171650
"insufficient, unsuitable","adequately, adequacy",利用可能なスペースは私たちのニーズには適切ではありません。,The space available is not adequate for our needs.,適切な,6,2765,形容詞,"sufficient, suitable, satisfactory",adequate,1752129546105x656486986931418500
"extreme, excessive","moderately, moderation",彼は適度な生活を送っている。,He has a moderate approach to life.,適度な,6,2768,"動詞, 形容詞","average, reasonable",moderate,1752129546105x785472123439450100
"remove, withdraw","application, applicable",この理論をプロジェクトに適用すべきだ。,You should apply this theory to your project.,適用する,6,2769,動詞,"use, employ",apply,1752129546105x810044179321014400
"improperly, incorrectly, inappropriately","proper, propriety",蓋を適切に固定することを確認してください。,Make sure you properly secure the lid.,適切に,3,2766,副詞,"correctly, appropriately, suitably",properly,1752129546105x903741869398251900
,"irony, ironed",鉄は一般的な金属だ。,Iron is a common metal.,鉄,2,2773,名詞,ferrous,iron,1752129547426x496808532146337150
"practical, unthinking, shallow","philosophically, philosopher",彼女は人生に哲学的なアプローチを持っている。,She has a philosophical approach to life.,哲学的な,7,2772,形容詞,"thoughtful, reflective, contemplative",philosophical,1752129547426x784775201613997000
"conceal, hide","exhibition, exhibitor",アーティストは彼の絵をギャラリーで展示する。,The artist will exhibit his paintings at the gallery.,展示する,3,2777,動詞,"display, show, present",exhibit,1752129547427x139191294753212350
"discard, waste","storehouse, storage",私は店に行くつもりだ。,I'm going to the store.,店、蓄える,1,2779,"名詞, 動詞","shop, stockpile",store,1752129547427x229500998251478400
,"weathering, weathered",今日の天気はとてもいい。,The weather today is very nice.,天気,1,2775,名詞,"climate, condition",weather,1752129547427x274489733265872450
,"exhibit, exhibitor",博物館では古代の遺物の展示会を開催している。,The museum is holding an exhibition of ancient artifacts.,展示,2,2776,名詞,"display, show",exhibition,1752129547427x314633955303005760
"detachment, disconnection","attach, attached, attaching",添付ファイルで文書を見つけてください。,Please find the document in the attachment.,添付、愛着,6,2780,名詞,"affection, bond, connection",attachment,1752129547427x406700806369060700
"stay, halt","roller, rolling",ボールが丘を転がり落ちた。,The ball rolled down the hill.,転がる,1,2781,"名詞, 動詞","tumble, rotate",roll,1752129547427x737212530520567300
,"shopper, shopping",私は食料品を買いに行く予定だ。,I am going to shop for groceries.,店,1,2778,"名詞, 動詞","store, market, buy",shop,1752129547427x943651737053664400
"atypical, unusual","typically, typicality",これは中世の城の典型的な例だ。,This is a typical example of a medieval castle.,典型的な,5,2774,形容詞,"characteristic, usual",typical,1752129547427x987565433185540400
,"transcribe, transcriptional, transcriptionist",転写は遺伝子が発現するプロセスの重要な部分だ。,Transcription is a vital part of the process by which genes are expressed.,転写,8,2782,名詞,"copy, reproduction, transcript",transcription,1752129547436x822989892783139300
"conceal, hide","telling, teller",真実を教えてください。,Tell me the truth.,伝える,1,2786,動詞,"inform, notify, explain",tell,1752129547437x154484210888666140
"hide, withhold","communication, communicator",はっきりと伝えることが重要だ。,It's important to communicate clearly.,伝える,4,2787,動詞,"convey, express",communicate,1752129547437x399438256068581440
"truth, fact, reality","legendary, legendarily",その都市の伝説は誰もが知っている。,The legend of the city is known to everyone.,伝説,3,2788,名詞,"myth, tale, folklore",legend,1752129547437x478686598723979000
,transmit,病気の伝播は速かった。,The transmission of the disease was quick.,伝送、伝達,7,2789,名詞,"transfer, conveyance",transmission,1752129547437x487897581838467460
"innovation, change","traditional, traditionally, traditionalist",私たちの家族では、クリスマスイブに大食事をするのが伝統だ。,It's a tradition in our family to have a big meal on Christmas Eve.,伝統,4,2790,名詞,"custom, practice, convention",tradition,1752129547437x575678447792822300
,"rescore, unscored",私はテストで満点を取った。,I got a perfect score on the test.,点数,3,2785,名詞,"mark, grade, point",score,1752129547437x697378461521323400
"modern, contemporary","tradition, traditionally",彼女は伝統的な日本の着物を着ている。,She is wearing a traditional Japanese kimono.,伝統的な,3,2791,形容詞,"customary, conventional, classic",traditional,1752129547437x805420486449629700
"retain, keep","transferrable, transferability",あなたの口座にお金を送りる。,I will transfer the money to your account.,転送する,6,2783,動詞,"transmit, convey, move",transfer,1752129547437x819703766715750000
whole,"pointer, pointing",ポイントは私たちは一緒に働く必要があるということだ。,The point is that we need to work together.,点,1,2784,名詞,"spot, place, location",point,1752129547437x913253774279967600
"modernly, untraditionally","tradition, traditional, traditionalist",伝統的に、家族は日曜日に食事のために集まりる。,"Traditionally, the family gathers for a meal on Sundays.",伝統的に,6,2793,副詞,"customarily, typically, normally",traditionally,1752129547445x310039552064126340
"unconventional, nontraditional, novel",conventionally,我々は伝統的な知恵に挑戦する必要がある。,We need to challenge the conventional wisdom.,伝統的な、慣習的な,6,2792,形容詞,"traditional, standard, typical",conventional,1752129547445x863725138353407500
"urban, city","ruralize, rurality",彼は田舎で育ちた。,He grew up in a rural area.,田舎の,4,2795,形容詞,"country, rustic",rural,1752129547446x161860969933803840
insulation,"conductive, conductor",このフライパンの熱伝導性は素晴らしい。,The pan's heat conduction is excellent.,伝導,8,2794,名詞,"transmission, transfer",conduction,1752129547446x359860993158286140
"manual, physical, tangible","electronically, electronics",試験室では電子機器の使用が禁止されている。,Electronic devices are prohibited in the examination room.,電子の,5,2799,形容詞,"digital, computerized, virtual",electronic,1752129547446x369755187912677060
"manual, non-electric","electricity, electrify",彼女は電気自動車を買った。,She bought an electric car.,電気の,2,2797,形容詞,"electrical, powered",electric,1752129547446x376598554704834750
,"electronically, electronic",電子は亜原子粒子だ。,An electron is a subatomic particle.,電子,7,2798,名詞,,electron,1752129547446x426006184177680960
"postal mail, snail mail","emailing, emailed",詳細を電子メールで送りる。,I will send you an email with the details.,電子メール,1,2800,名詞,"electronic mail, e-letter",email,1752129547446x690896095461451600
,"electric, electrical, electrically",嵐の後、全市が電気を失いた。,The entire city was left without electricity after the storm.,電気,4,2796,名詞,"power, energy",electricity,1752129547446x933865857488047000
,"trainee,trainer,training",彼女は電車で仕事に行った。,She took a train to work.,電車,1,2801,名詞,"railway,carriage",train,1752129547446x966008317298378200
"strip, clean","painter, painting",彼女は家を青く塗ることに決めた。,She decided to paint the house blue.,塗る,2,2805,動詞,"coat, color",paint,1752129547453x221079313201445020
,"telephony, telephonic",明日あなたに電話する。,I'll telephone you tomorrow.,電話,1,2804,"名詞, 動詞","phone, call",telephone,1752129547453x336216862586582000
"erase, delete",registration,あなたの名前をリストに登録してください。,Please register your name on the list.,登録する,4,2808,動詞,"enroll, record, list",register,1752129547453x483970390433967600
"descend, fall","climber, climbing",私たちは来週末にその山を登る予定だ。,We are planning to climb the mountain next weekend.,登る,3,2806,動詞,"ascend, mount",climb,1752129547453x661439292090351100
,"register, registered",そのコースの登録は来週から始まりる。,Registration for the course begins next week.,登録,3,2807,名詞,"enrollment, signing up",registration,1752129547453x833862422526155000
,"phone call, phone number",彼女は電話で話している。,She is talking on the phone.,電話,2,2803,名詞,"telephone, cell, mobile",phone,1752129547453x861456908121391000
,"calculable, calculate",私は複雑な数学の問題にはいつも電卓を使いる。,I always use a calculator for complex math problems.,電卓,2,2802,名詞,"abacus, adding machine",calculator,1752129547453x984558463953215500
,staked,このゲームには大きな賭けがかかっている。,There's a lot at stake in this game.,賭け,5,2809,名詞,"bet, wager",stake,1752129547454x657225780720409600
,"betting, bettor",君がそのピザ全部食べられるわけないだろうと思うよ。,I bet you can't eat all that pizza.,賭ける,2,2810,動詞,"wager, gamble",bet,1752129547454x702412497043620100
"countryside, rural","cityscape, citywide",ニューヨークは活気に満ちた都市だ。,New York is a bustling city.,都市,1,2811,名詞,"metropolis, town, urban",city,1752129547454x922657255817061000
"happy, sane","madness, madly",彼はその決定に怒っていた。,He was mad about the decision.,怒っている、狂っている,2,2820,形容詞,"angry, insane",mad,1752129548689x155456675503659040
"master, free man","slavery, enslavement",彼は子供の時に奴隷として売られた。,He was sold as a slave when he was a child.,奴隷,5,2817,名詞,"servant, captive",slave,1752129548689x230402887953922800
"freedom, liberty","slave, slavish",奴隷制度は19世紀に廃止された。,Slavery was abolished in the 19th century.,奴隷制度,4,2818,名詞,"bondage, servitude",slavery,1752129548689x237442235740979100
"happy, pleased, calm","anger, angrily",彼は友人の裏切りに怒っていた。,He was angry at his friend's betrayal.,怒った,1,2819,形容詞,"mad, furious, irritated",angry,1752129548689x296751268513568700
"sky, air","landed, lander, landing",飛行機は無事に着陸した。,The plane landed safely.,土地、着陸する,2,2815,"名詞, 動詞","ground, territory, soil",land,1752129548689x406330160469276400
"rural, country","urbanize, urbanity",都市の人口が急速に増加している。,The urban population is increasing rapidly.,都市の,7,2812,形容詞,"metropolitan, city, municipal",urban,1752129548689x684062275997567200
,,土曜日に会う。,We will meet on Saturday.,土曜日,1,2816,名詞,,saturday,1752129548689x815123712421514000
